,datetime,team1,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,chances1,chances2,moves1,moves2,group,matchday
52,2016-11-01 15:45:00+00:00,Benfica,Dynamo Kiev,BEN,KIEV,g,1,0,1.05,0.0,1.643,1.186,1.154,0.838,,
53,2016-11-01 15:45:00+00:00,Basel,Paris Saint-Germain,BAS,PSG,g,1,2,1.05,2.1,0.687,2.432,0.608,2.236,,
54,2016-11-01 15:45:00+00:00,PSV,Bayern Munich,PSV,BMU,g,1,2,1.05,2.1,0.919,4.691,0.5679999999999991,3.643,,
55,2016-11-01 15:45:00+00:00,Ludogorets,Arsenal,LUD,ARS,g,2,3,2.1,3.15,1.616,1.9849999999999999,0.593,2.219,,
56,2016-11-02 15:45:00+00:00,FC Copenhagen,Leicester City,COP,LEI,g,0,0,0.0,0.0,1.8719999999999999,0.449,1.218,0.608,,
57,2016-11-02 15:45:00+00:00,Tottenham Hotspur,Bayer Leverkusen,TOT,LEV,g,0,1,0.0,1.05,0.482,1.172,0.777,1.452,,
58,2016-11-02 15:45:00+00:00,Juventus,Lyon,JUV,LYON,g,1,1,1.05,1.05,1.599,1.124,0.903,1.152,,
59,2016-11-02 15:45:00+00:00,Legia Warsaw,Real Madrid,WAR,MAD,g,3,3,3.15,3.15,0.526,2.527,0.9570000000000001,3.5869999999999997,,
60,2016-11-02 15:45:00+00:00,Borussia Dortmund,Sporting CP,DOR,SCP,g,1,0,1.05,0.0,1.137,1.328,1.401,0.906,,
61,2016-11-02 15:45:00+00:00,FC Porto,Club Brugge,POR,CBKV,g,1,0,1.05,0.0,0.9570000000000001,0.419,1.275,1.161,,
62,2016-11-02 15:45:00+00:00,AS Monaco,CSKA Moscow,MON,CSKA,g,3,0,3.15,0.0,3.179,0.42,2.628,0.744,,
63,2016-11-02 15:45:00+00:00,Sevilla FC,Dinamo Zagreb,SEV,DIN,g,4,0,3.5140000000000002,0.0,2.784,0.089,3.399,0.168,,
64,2016-11-22 12:00:00+00:00,CSKA Moscow,Bayer Leverkusen,CSKA,LEV,g,1,1,1.05,1.05,1.7570000000000001,1.266,1.9729999999999999,1.728,,
65,2016-11-22 14:45:00+00:00,Dinamo Zagreb,Lyon,DIN,LYON,g,0,1,0.0,1.05,0.335,2.034,0.54,1.271,,
66,2016-11-22 14:45:00+00:00,FC Copenhagen,FC Porto,COP,POR,g,0,0,0.0,0.0,0.46,1.861,1.102,1.412,,
67,2016-11-22 14:45:00+00:00,Leicester City,Club Brugge,LEI,CBKV,g,2,1,2.1,1.05,2.086,0.266,1.211,1.451,,
68,2016-11-22 14:45:00+00:00,Borussia Dortmund,Legia Warsaw,DOR,WAR,g,8,4,7.599,4.2,4.788,1.74,3.153,1.309,,
69,2016-11-22 14:45:00+00:00,Sporting CP,Real Madrid,SCP,MAD,g,1,2,1.05,2.1,1.203,0.858,1.007,1.2690000000000001,,
70,2016-11-22 14:45:00+00:00,AS Monaco,Tottenham Hotspur,MON,TOT,g,2,1,2.1,1.05,2.946,1.048,1.482,0.8240000000000001,,
71,2016-11-22 14:45:00+00:00,Sevilla FC,Juventus,SEV,JUV,g,1,3,1.05,2.625,0.227,1.176,0.984,1.199,,
72,2016-11-23 12:00:00+00:00,Rostov,Bayern Munich,ROS,BMU,g,3,2,3.15,2.1,1.5190000000000001,1.367,0.758,2.362,,
73,2016-11-23 12:45:00+00:00,Besiktas,Benfica,BES,BEN,g,3,3,3.15,3.15,1.857,2.613,0.782,0.9560000000000001,,
74,2016-11-23 14:45:00+00:00,Arsenal,Paris Saint-Germain,ARS,PSG,g,2,2,2.1,2.1,0.96,1.699,1.23,1.294,,
75,2016-11-23 14:45:00+00:00,Celtic,Barcelona,CEL,BAR,g,0,2,0.0,2.1,0.725,3.243,1.056,3.337,,
76,2016-11-23 14:45:00+00:00,Napoli,Dynamo Kiev,NAP,KIEV,g,0,0,0.0,0.0,0.747,0.178,1.27,0.031,,
77,2016-11-23 14:45:00+00:00,Atletico Madrid,PSV,ATL,PSV,g,2,0,2.1,0.0,1.097,0.125,1.335,0.187,,
78,2016-11-23 14:45:00+00:00,Borussia Monchengladbach,Manchester City,MGB,MNC,g,1,1,1.05,1.05,0.635,1.284,0.391,1.9420000000000002,,
79,2016-11-23 14:45:00+00:00,Ludogorets,Basel,LUD,BAS,g,0,0,0.0,0.0,0.139,0.527,0.432,1.028,,
80,2016-12-06 14:45:00+00:00,Manchester City,Celtic,MNC,CEL,g,1,1,1.05,1.05,0.7010000000000001,1.604,1.188,0.8129999999999991,,
81,2016-12-06 14:45:00+00:00,Barcelona,Borussia Monchengladbach,BAR,MGB,g,4,0,4.2,0.0,2.878,0.027,3.171,0.626,,
82,2016-12-06 14:45:00+00:00,Bayern Munich,Atletico Madrid,BMU,ATL,g,1,0,1.05,0.0,1.25,0.274,1.722,0.842,,
83,2016-12-06 14:45:00+00:00,Dynamo Kiev,Besiktas,KIEV,BES,g,6,0,6.125,0.0,3.496,0.28400000000000003,1.259,0.641,,
84,2016-12-06 14:45:00+00:00,Benfica,Napoli,BEN,NAP,g,1,2,1.05,1.884,1.576,1.832,1.403,1.474,,
85,2016-12-06 14:45:00+00:00,Paris Saint-Germain,Ludogorets,PSG,LUD,g,2,2,2.1,2.1,2.379,1.024,2.15,0.579,,
86,2016-12-06 14:45:00+00:00,Basel,Arsenal,BAS,ARS,g,1,4,1.05,4.2,1.346,2.12,1.811,1.404,,
87,2016-12-06 14:45:00+00:00,PSV,Rostov,PSV,ROS,g,0,0,0.0,0.0,1.016,0.464,2.454,0.743,,
88,2016-12-07 14:45:00+00:00,Club Brugge,FC Copenhagen,CBKV,COP,g,0,2,0.0,2.1,0.31,0.804,1.338,1.477,,
89,2016-12-07 14:45:00+00:00,Tottenham Hotspur,CSKA Moscow,TOT,CSKA,g,3,1,2.9699999999999998,1.05,3.249,0.855,2.9210000000000003,0.652,,
90,2016-12-07 14:45:00+00:00,Juventus,Dinamo Zagreb,JUV,DIN,g,2,0,2.036,0.0,1.375,0.099,2.017,0.33,,
91,2016-12-07 14:45:00+00:00,Legia Warsaw,Sporting CP,WAR,SCP,g,1,0,1.05,0.0,1.749,1.564,0.92,2.16,,
